# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/cs/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> cs
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	Zvýšení přesnosti (bílý) = oranžový + žlutý a oranžový vrstvený
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	Odolnost proti vzduchu (bílý) = červený a oranžový vrstvený + modrý a fialový vrstvený
autonote or awards	Awaken (Green) = Yellow + Blue	Probuzení (zelený) = žlutý + modrý
autonote or awards	Bless (Red and Green Layered) = Red + Green	Požehnání (červený a zelený vrstvený) = červený + zelený
autonote or awards	Bless (White) = Purple + Blue	Požehnání (Bílá) = Fialová + Modrá
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	Odolnost proti tělu (bílý) = modrý a zelený vrstvený + žlutý a oranžový vrstvený
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Katalyzátor (šedý) = houby + prázdná láhev. Pro zvýšení efektu se mohou použít vydatnější šedé přísady.
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Katalyzátor (šedý) = houby + prázdná láhev. Pro zvýšení efektu se mohou použít vydatnější šedé přísady.
autonote or awards	Cure Disease (Orange) = Yellow + Red	Léčení nemocí (oranžový) = žlutý + červený
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	Odstranění šílenství (oranžový a zelený vrstvený) = oranžový + zelený
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	Lék na ochromení (bílý) = zelený + žlutý a oranžový vrstvený
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	Lék na ochromení (bílý) = oranžový + žlutý a zelený vrstvený
autonote or awards	Cure Poison (Purple) = Blue + Red	Protijed (fialový) = modrý + červený
autonote or awards	Cure Weakness (Yellow) = Poppysnaps + Empty Bottle.  Different yellow reagents can be used for increased effect.	Posilovací nápoj (žlutý) = žluté květy máku + prázdná láhev. Pro zvýšení efektu se mohou použít vydatnější žluté přísady.
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle	Hojení ran (Červená) = Brusinkové bobule + prázdná láhev
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle.  Different red reagents can be used for increased effect.	Hojení ran (červený) = bobule kominíčku + prázdná láhev. Pro zvýšení efektu se mohou použít vydatnější červené přísady.
autonote or awards	Divine Boost = Divine Power + Any attribute boost potion.	
autonote or awards	Divine Cure (Black) = Restoration + Orange	Božská léčba (Černá) = Vzkříšení + Oranžová
autonote or awards	Divine Cure (White) = Red and Orange Layered + Yellow and Orange Layered	Božský lék (bílý) = červený a oranžový vrstvený + žlutý a oranžový vrstvený
autonote or awards	Divine Magic (Black) = Super Resistance + Green	Božská magie (Černá) = Super odolnost + Zelená
autonote or awards	Divine Power (Black) = Extreme Energy + Purple	Božská síla (Černá) = Nesmírná energie + Fialová
autonote or awards	Divine Power (White) = Blue and Green Layered + Yellow and Green Layered	Božská síla (bílý) = modrý a zelený vrstvený + žlutý a zelený vrstvený
autonote or awards	Divine Protection = Divine Cure + Any resistance potion.	
autonote or awards	Divine Restoration (White) = Blue and Purple Layered + Yellow and Orange Layered	Božské uzdravení (bílý) = modrý a fialový vrstvený + žlutý a oranžový vrstvený
autonote or awards	Divine Restoration (White) = Red and Orange Layered + Blue and Green Layered	Božské uzdravení (bílý) = červený a oranžový vrstvený + modrý a zelený vrstvený
autonote or awards	Divine Restoration (White) = Red and Purple Layered + Yellow and Green Layered	Božské uzdravení (bílý) = červený a fialový vrstvený + žlutý a zelený vrstvený
autonote or awards	Divine Transcendence = Divine Restoration + Cure Insanity (or Remove Fear, or Remove Curse)	
autonote or awards	Earth Resistance (White) = Red and Purple Layered + Yellow and Orange Layered	Odolnost proti zemi (bílý) = červený a fialový vrstvený + žlutý a oranžový vrstvený
autonote or awards	Endurance Boost (White) = Purple + Blue and Purple Layered	Zvýšení odolnosti (bílý) = fialový + modrý a fialový vrstvený
autonote or awards	Energy (Yellow) = Poppysnaps + Empty Bottle	Energie (Žlutá) = Petrklíče + prázdná láhev
autonote or awards	Essence of Accuracy (Black) = Bless + Yellow	Esence Přesnosti (Černá) = Požehnání + Žlutá
autonote or awards	Essence of Accuracy = Cure Insanity + Stoneskin	
autonote or awards	Essence of Endurance (Black) = Supreme Protection + Yellow	Esence Odolnosti (Černá) = Maximální ochrana + Žlutá
autonote or awards	Essence of Endurance = Remove Curse + Recharge Item	
autonote or awards	Essence of Intellect (Black) = Stone Skin + Blue	Esence Intelektu (Černá) = Kamenná kůže + Modrá
autonote or awards	Essence of Intellect = Remove Curse + Shield	
autonote or awards	Essence of Luck (Black) = Super Resistance + Purple	Esence Štěstí (Černá) = Super odolnost + Fialová
autonote or awards	Essence of Luck = Haste + Heroism, Recharge Item + Shield, Harden Item + Stoneskin	
autonote or awards	Essence of Might (Black) = Heroism + Red	Esence Síly (Černá) = Hrdinství + Červená
autonote or awards	Essence of Might = Remove Fear + Heroism	
autonote or awards	Essence of Personality (Black) = Restoration + Blue	Esence Osobnosti (Černá) = Vzkříšení + Modrá
autonote or awards	Essence of Personality = Remove Fear + Haste	
autonote or awards	Essence of Speed (Black) = Haste + Red	Esence Rychlosti (Černá) = Zrychlení + Červená
autonote or awards	Essence of Speed = Cure Insanity + Harden Item	
autonote or awards	Extreme Energy (White) = Orange + Yellow	Extrémní energie (Bílá) = Oranžová + Žlutá
autonote or awards	Fire Resistance (White) = Red and Orange Layered + Yellow and Green Layered	Odolnost proti ohni (bílý) = červený a oranžový vrstvený + žlutý a zelený vrstvený
autonote or awards	Flaming Potion (White) = Green + Red and Orange Layered	Plamenný nátěr (bílý) = zelený + červený a oranžový vrstvený
autonote or awards	Flaming Potion (White) = Purple + Yellow and Orange Layered	Plamenný nátěr (bílý) = fialový + žlutý a oranžový vrstvený
autonote or awards	Freezing Potion (White) = Green + Red and Purple Layered	Mrazivý nátěr (bílý) = zelený + červený a fialový vrstvený
autonote or awards	Freezing Potion (White) = Orange + Blue and Purple Layered	Mrazivý nátěr (bílý) = oranžový + modrý a fialový vrstvený
autonote or awards	Harden Item (Yellow and Green Layered) = Yellow + Green	Zpevnění předmětu (žlutý a zelený vrstvený) = žlutý + zelený
