# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/de/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> de
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	Essenz der Genauigkeit (weiß) = orange + gelb-orange
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	Luft-Resistenz (weiß) = rot-orange + blau-violett
autonote or awards	Awaken (Green) = Yellow + Blue	Erwachen (grün) = gelb + blau
autonote or awards	Bless (Red and Green Layered) = Red + Green	Segen (rot-grün) = rot + grün
autonote or awards	Bless (White) = Purple + Blue	Segen (Weiß) = Violett + Blau
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	Körper-Resistenz (weiß) = blau-grün + gelb-orange
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Katalysator (grau) = Pilze + leere Flasche. Um den Effekt zu steigern, können verschiedene graue Bestandteile verwendet werden.
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Katalysatoren (grau) = Pilz + leere Flasche.  Verschiedene graue Zutaten können zu einer verstärkten Wirkung benutzt werden.
autonote or awards	Cure Disease (Orange) = Yellow + Red	Krankheit heilen (orange) = gelb + rot
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	Irrsinn heilen (orange-grün) = orange + grün
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	Lähmung heilen (weiß) = grün + gelb-orange
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	Lähmung heilen (weiß) = orange + gelb-grün
autonote or awards	Cure Poison (Purple) = Blue + Red	Gift heilen (violett) = blau + rot
autonote or awards	Cure Weakness (Yellow) = Poppysnaps + Empty Bottle.  Different yellow reagents can be used for increased effect.	Schwäche heilen (gelb) = Klatschmohn + leere Flasche. Um den Effekt zu steigern, können verschiedene gelbe Bestandteile verwendet werden.
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle	Wunden heilen (Rot) = Witwenbeeren + Leere Flasche
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle.  Different red reagents can be used for increased effect.	Wunden heilen (rot) = Witwentrauer-Beeren + leere Flasche. Um den Effekt zu steigern, können verschiedene rote Bestandteile verwendet werden.
autonote or awards	Divine Boost = Divine Power + Any attribute boost potion.	
autonote or awards	Divine Cure (Black) = Restoration + Orange	Göttliche Heilung (Schwarz) = Wiederherstellen + Orange
autonote or awards	Divine Cure (White) = Red and Orange Layered + Yellow and Orange Layered	Göttliche Heilung (weiß) = rot-orange + gelb-orange
autonote or awards	Divine Magic (Black) = Super Resistance + Green	Göttliche Magie (Schwarz) = Super-Resistenz + Grün
autonote or awards	Divine Power (Black) = Extreme Energy + Purple	Göttliche Kraft (Schwarz) = Extreme Energie + Violett
