# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/es/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> es
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	Accuracy Boost (White) = Orange + Yellow and Orange Layered
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered
autonote or awards	Awaken (Green) = Yellow + Blue	Awaken (Green) = Yellow + Blue
autonote or awards	Bless (Red and Green Layered) = Red + Green	Bless (Red and Green Layered) = Red + Green
autonote or awards	Bless (White) = Purple + Blue	
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.
autonote or awards	Cure Disease (Orange) = Yellow + Red	Cure Disease (Orange) = Yellow + Red
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	Cure Insanity (Orange and Green Layered) = Orange + Green
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	Cure Paralysis (White) = Green + Yellow and Orange Layered
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	Cure Paralysis (White) = Orange + Yellow and Green Layered
autonote or awards	Cure Poison (Purple) = Blue + Red	Cure Poison (Purple) = Blue + Red
autonote or awards	Cure Weakness (Yellow) = Poppysnaps + Empty Bottle.  Different yellow reagents can be used for increased effect.	Cure Weakness (Yellow) = Poppysnaps + Empty Bottle.  Different yellow reagents can be used for increased effect.
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle	
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle.  Different red reagents can be used for increased effect.	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle.  Different red reagents can be used for increased effect.
autonote or awards	Divine Boost = Divine Power + Any attribute boost potion.	
autonote or awards	Divine Cure (Black) = Restoration + Orange	
autonote or awards	Divine Cure (White) = Red and Orange Layered + Yellow and Orange Layered	Divine Cure (White) = Red and Orange Layered + Yellow and Orange Layered
autonote or awards	Divine Magic (Black) = Super Resistance + Green	
autonote or awards	Divine Power (Black) = Extreme Energy + Purple	
autonote or awards	Divine Power (White) = Blue and Green Layered + Yellow and Green Layered	Divine Power (White) = Blue and Green Layered + Yellow and Green Layered
autonote or awards	Divine Protection = Divine Cure + Any resistance potion.	
autonote or awards	Divine Restoration (White) = Blue and Purple Layered + Yellow and Orange Layered	Divine Restoration (White) = Blue and Purple Layered + Yellow and Orange Layered
autonote or awards	Divine Restoration (White) = Red and Orange Layered + Blue and Green Layered	Divine Restoration (White) = Red and Orange Layered + Blue and Green Layered
autonote or awards	Divine Restoration (White) = Red and Purple Layered + Yellow and Green Layered	Divine Restoration (White) = Red and Purple Layered + Yellow and Green Layered
autonote or awards	Divine Transcendence = Divine Restoration + Cure Insanity (or Remove Fear, or Remove Curse)	
autonote or awards	Earth Resistance (White) = Red and Purple Layered + Yellow and Orange Layered	Earth Resistance (White) = Red and Purple Layered + Yellow and Orange Layered
autonote or awards	Endurance Boost (White) = Purple + Blue and Purple Layered	Endurance Boost (White) = Purple + Blue and Purple Layered
autonote or awards	Energy (Yellow) = Poppysnaps + Empty Bottle	
autonote or awards	Essence of Accuracy (Black) = Bless + Yellow	
autonote or awards	Essence of Accuracy = Cure Insanity + Stoneskin	
autonote or awards	Essence of Endurance (Black) = Supreme Protection + Yellow	
autonote or awards	Essence of Endurance = Remove Curse + Recharge Item	
autonote or awards	Essence of Intellect (Black) = Stone Skin + Blue	
autonote or awards	Essence of Intellect = Remove Curse + Shield	
autonote or awards	Essence of Luck (Black) = Super Resistance + Purple	
autonote or awards	Essence of Luck = Haste + Heroism, Recharge Item + Shield, Harden Item + Stoneskin	
autonote or awards	Essence of Might (Black) = Heroism + Red	
autonote or awards	Essence of Might = Remove Fear + Heroism	
autonote or awards	Essence of Personality (Black) = Restoration + Blue	
autonote or awards	Essence of Personality = Remove Fear + Haste	
autonote or awards	Essence of Speed (Black) = Haste + Red	
autonote or awards	Essence of Speed = Cure Insanity + Harden Item	
autonote or awards	Extreme Energy (White) = Orange + Yellow	
autonote or awards	Fire Resistance (White) = Red and Orange Layered + Yellow and Green Layered	Fire Resistance (White) = Red and Orange Layered + Yellow and Green Layered
autonote or awards	Flaming Potion (White) = Green + Red and Orange Layered	Flaming Potion (White) = Green + Red and Orange Layered
autonote or awards	Flaming Potion (White) = Purple + Yellow and Orange Layered	Flaming Potion (White) = Purple + Yellow and Orange Layered
autonote or awards	Freezing Potion (White) = Green + Red and Purple Layered	Freezing Potion (White) = Green + Red and Purple Layered
autonote or awards	Freezing Potion (White) = Orange + Blue and Purple Layered	Freezing Potion (White) = Orange + Blue and Purple Layered
autonote or awards	Harden Item (Yellow and Green Layered) = Yellow + Green	Harden Item (Yellow and Green Layered) = Yellow + Green
