# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/fr/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> fr
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	Stimulateur de précision (blanche) = orange + stratifiée jaune et orange
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	Protection contre l’Air (blanche) = stratifiée rouge et orange + stratifiée bleu et mauve
autonote or awards	Awaken (Green) = Yellow + Blue	Réveil (verte) = jaune + bleue
autonote or awards	Bless (Red and Green Layered) = Red + Green	Bénédiction (stratifiée rouge et vert) = rouge + verte
autonote or awards	Bless (White) = Purple + Blue	Bénédiction (Blanche) = Violette + Bleue
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	Protection contre le Corps (blanche) = stratifiée bleu et vert + stratifiée jaune et orange
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Catalyseur (grise) = Champignons + Fiole vide. Pour un effet plus puissant, utiliser différents réactifs gris.
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Catalyseur (Gris) = Champignons + Flacon vide. Les ingrédients gris n'ont pas tous la même puissance.
autonote or awards	Cure Disease (Orange) = Yellow + Red	Soigner maladie (orange) = jaune + rouge
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	Soigner folie (stratifiée orange et vert) = orange + verte
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	Soigner paralysie (blanche) = verte + stratifiée jaune et orange
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	Soigner paralysie (blanche) = orange + stratifiée jaune et vert
autonote or awards	Cure Poison (Purple) = Blue + Red	Soigner poison (mauve) = bleue + rouge
autonote or awards	Cure Weakness (Yellow) = Poppysnaps + Empty Bottle.  Different yellow reagents can be used for increased effect.	Soigner faiblesse (jaune) = Capsules de pavot + Fiole vide. Pour un effet plus puissant, utiliser différents réactifs jaunes.
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle	Soigner Blessures (Rouge) = Baies de Larmes de Veuves + Flacon Vide.
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle.  Different red reagents can be used for increased effect.	Soigner blessures (rouge) = Baies de veuve + Fiole vide. Pour un effet plus puissant, utiliser différents réactifs rouges.
autonote or awards	Divine Boost = Divine Power + Any attribute boost potion.	
autonote or awards	Divine Cure (Black) = Restoration + Orange	Guérison Divine (Noire) = Restauration + Orange
autonote or awards	Divine Cure (White) = Red and Orange Layered + Yellow and Orange Layered	Soin divin (blanche) = stratifiée rouge et orange + stratifiée jaune et orange
autonote or awards	Divine Magic (Black) = Super Resistance + Green	Magie Divine (Noire) = Super Résistance + Verte
autonote or awards	Divine Power (Black) = Extreme Energy + Purple	Puissance Divine (Noire) = Energie Extrême + Violette
autonote or awards	Divine Power (White) = Blue and Green Layered + Yellow and Green Layered	Puissance divine (blanche) = stratifiée bleu et vert + stratifiée jaune et vert
autonote or awards	Divine Protection = Divine Cure + Any resistance potion.	
autonote or awards	Divine Restoration (White) = Blue and Purple Layered + Yellow and Orange Layered	Rétablissement divin (blanche) = stratifiée bleu et mauve + stratifiée jaune et orange
autonote or awards	Divine Restoration (White) = Red and Orange Layered + Blue and Green Layered	Rétablissement divin (blanche) = stratifiée rouge et orange + stratifiée bleu et vert
autonote or awards	Divine Restoration (White) = Red and Purple Layered + Yellow and Green Layered	Rétablissement divin (blanche) = stratifiée rouge et mauve + stratifiée jaune et vert
autonote or awards	Divine Transcendence = Divine Restoration + Cure Insanity (or Remove Fear, or Remove Curse)	
autonote or awards	Earth Resistance (White) = Red and Purple Layered + Yellow and Orange Layered	Protection contre la Terre (blanche) = stratifiée rouge et mauve + stratifiée jaune et orange
autonote or awards	Endurance Boost (White) = Purple + Blue and Purple Layered	Stimulateur d’endurance (blanche) = mauve + stratifiée bleu et mauve
autonote or awards	Energy (Yellow) = Poppysnaps + Empty Bottle	Energie (Jaune) = Pavot + Flacon Vide.
autonote or awards	Essence of Accuracy (Black) = Bless + Yellow	Essence de Dextérité (Noire) = Bénédiction + Jaune
autonote or awards	Essence of Accuracy = Cure Insanity + Stoneskin	
autonote or awards	Essence of Endurance (Black) = Supreme Protection + Yellow	Essence d'Endurance (Noire) = Protection Suprême + Jaune
autonote or awards	Essence of Endurance = Remove Curse + Recharge Item	
autonote or awards	Essence of Intellect (Black) = Stone Skin + Blue	Essence d'Intelligence (Noire) = Peau d'Acier + Bleue
autonote or awards	Essence of Intellect = Remove Curse + Shield	
autonote or awards	Essence of Luck (Black) = Super Resistance + Purple	Essence de Chance (Noire) = Super Résistance + Violette
