# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/ja/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> ja
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	「器用度」増強（白） 
　= オレンジ + 黄・オレンジ
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	エアレジスタンス（白） 
　= 赤・オレンジ + 青・紫
autonote or awards	Awaken (Green) = Yellow + Blue	覚醒（緑）
　= 黄 + 青
autonote or awards	Bless (Red and Green Layered) = Red + Green	ブレス（赤・緑）
　= 赤 + 緑
autonote or awards	Bless (White) = Purple + Blue	
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	ボディーレジスタンス（白）
　= 青・緑 + 黄・オレンジ
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	触媒（グレー） = キノコ + あきびん。
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	触媒（グレー） = キノコ + あきびん。
autonote or awards	Cure Disease (Orange) = Yellow + Red	病魔撃退（オレンジ）
　= 黄 + 赤
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	キュアインサニティ（オレンジ・緑） 
　= オレンジ + 緑
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	キュアパラライズ（白） 
　= 緑 + 黄・オレンジ
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	キュアパラライズ（白）
　= オレンジ + 黄・緑
autonote or awards	Cure Poison (Purple) = Blue + Red	解毒（紫）
　= 青 + 赤
autonote or awards	Cure Weakness (Yellow) = Poppysnaps + Empty Bottle.  Different yellow reagents can be used for increased effect.	強壮（黄） = ポピースナップ + あきびん。
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle	
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle.  Different red reagents can be used for increased effect.	傷薬（赤） = ウィドウズウィープス + あきびん。
autonote or awards	Divine Boost = Divine Power + Any attribute boost potion.	
autonote or awards	Divine Cure (Black) = Restoration + Orange	
autonote or awards	Divine Cure (White) = Red and Orange Layered + Yellow and Orange Layered	奇跡の治癒（白） 
　= 赤・オレンジ + 黄・オレンジ
autonote or awards	Divine Magic (Black) = Super Resistance + Green	
autonote or awards	Divine Power (Black) = Extreme Energy + Purple	
autonote or awards	Divine Power (White) = Blue and Green Layered + Yellow and Green Layered	奇跡の力（白） 
　= 青・緑 + 黄・緑
autonote or awards	Divine Protection = Divine Cure + Any resistance potion.	
autonote or awards	Divine Restoration (White) = Blue and Purple Layered + Yellow and Orange Layered	奇跡の回復（白） 
　= 青・紫 + 黄・オレンジ
autonote or awards	Divine Restoration (White) = Red and Orange Layered + Blue and Green Layered	奇跡の回復（白）
　= 赤・オレンジ + 青・緑
autonote or awards	Divine Restoration (White) = Red and Purple Layered + Yellow and Green Layered	奇跡の回復（白） 
　= 赤・紫 + 黄・緑
autonote or awards	Divine Transcendence = Divine Restoration + Cure Insanity (or Remove Fear, or Remove Curse)	
autonote or awards	Earth Resistance (White) = Red and Purple Layered + Yellow and Orange Layered	アースレジスタンス（白）
　= 赤・紫 + 黄・オレンジ
autonote or awards	Endurance Boost (White) = Purple + Blue and Purple Layered	「耐久力」増強（白）
　= 紫 + 青・紫
autonote or awards	Energy (Yellow) = Poppysnaps + Empty Bottle	
autonote or awards	Essence of Accuracy (Black) = Bless + Yellow	
autonote or awards	Essence of Accuracy = Cure Insanity + Stoneskin	
autonote or awards	Essence of Endurance (Black) = Supreme Protection + Yellow	
autonote or awards	Essence of Endurance = Remove Curse + Recharge Item	
autonote or awards	Essence of Intellect (Black) = Stone Skin + Blue	
autonote or awards	Essence of Intellect = Remove Curse + Shield	
autonote or awards	Essence of Luck (Black) = Super Resistance + Purple	
autonote or awards	Essence of Luck = Haste + Heroism, Recharge Item + Shield, Harden Item + Stoneskin	
autonote or awards	Essence of Might (Black) = Heroism + Red	
autonote or awards	Essence of Might = Remove Fear + Heroism	
autonote or awards	Essence of Personality (Black) = Restoration + Blue	
autonote or awards	Essence of Personality = Remove Fear + Haste	
autonote or awards	Essence of Speed (Black) = Haste + Red	
autonote or awards	Essence of Speed = Cure Insanity + Harden Item	
autonote or awards	Extreme Energy (White) = Orange + Yellow	
autonote or awards	Fire Resistance (White) = Red and Orange Layered + Yellow and Green Layered	ファイアーレジスタンス（白）
　= 赤・オレンジ + 黄・緑
autonote or awards	Flaming Potion (White) = Green + Red and Orange Layered	炎のポーション（白） 
　= 緑 + 赤・オレンジ
autonote or awards	Flaming Potion (White) = Purple + Yellow and Orange Layered	炎のポーション（白） 
　= 紫 + 黄・オレンジ
autonote or awards	Freezing Potion (White) = Green + Red and Purple Layered	氷のポーション（白）
　= 緑 + 赤・紫
autonote or awards	Freezing Potion (White) = Orange + Blue and Purple Layered	氷のポーション（白） 
　= オレンジ + 青・紫
autonote or awards	Harden Item (Yellow and Green Layered) = Yellow + Green	アイテム強化（黄・緑）
　= 黄 + 緑
autonote or awards	Haste (Red and Orange Layered) = Red + Orange	ヘイスト（赤・オレンジ）
　= 赤 + オレンジ
autonote or awards	Haste (White) = Green + Yellow	
autonote or awards	Heroism (Red and Purple Layered) = Red + Purple	ヒロイズム（赤・紫）
　= 赤 + 紫
autonote or awards	Heroism (White) = Orange + Red	
autonote or awards	Intellect Boost (White) = Green + Yellow and Green Layered	「知性」増強（白） 
　= 緑 + 黄・緑
