# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/ko/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> ko
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	정확성 상승 -Accuracy Boost (하양) = 오렌지 + (노랑과 오렌지가 층을이룸)
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	바람의 저항력 -Air Resistance (하양) = (빨강과 오렌지가 층을이룸) + (파랑과 보라가 층을이룸)
autonote or awards	Awaken (Green) = Yellow + Blue	기상 -Awaken (초록) = 노랑 + 파랑
autonote or awards	Bless (Red and Green Layered) = Red + Green	블레스 -Bless (빨강과 초록이 층을이룸) = 빨강 + 초록
autonote or awards	Bless (White) = Purple + Blue	축복 (흰색) = 보라 + 파랑
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	육체의 저항력 -Body Resistance (하양) = (파랑과 초록이 층을이룸) + (노랑과 오렌지가 층을이룸)
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	촉매 -Catalyst (회색) = 버섯 + 빈 병.  특이한 회색 시약은 효과를 높일 때 쓰인다.
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	촉매 -Catalyst (회색) = 버섯 + 빈 병.  특이한 회색 시약은 효과를 높일 때 쓰인다.
autonote or awards	Cure Disease (Orange) = Yellow + Red	질병 치료 -Cure Disease (오렌지) = 노랑 + 빨강
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	광기 치료 -Cure Insanity (오렌지와 초록이 층을이룸) = 오렌지 + 초록
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	마비 치료 -Cure Paralysis (하양) = 초록 + (노랑과 오렌지가 층을이룸)
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	마비 치료 -Cure Paralysis (하양) = 오렌지 + (노랑과 초록이 층을이룸)
autonote or awards	Cure Poison (Purple) = Blue + Red	중독 치료 -Cure Poison (보라) = 파랑 + 빨강
