# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/pl/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> pl
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	Zwiększenie Celności (Biały) = Pomarańczowo-Żółty (Kamienna Skóra) + Pomarańczowy 
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	Odporność na Magię Powietrza (Biały) = Pomarańczowo-Czerwony (Pośpiech) + Fioletowo-Niebieski (Tarcza)
autonote or awards	Awaken (Green) = Yellow + Blue	Przebudzenie (Zielony) = Niebieski + Żółty
autonote or awards	Bless (Red and Green Layered) = Red + Green	Błogosławieństwo = Zielony + Czerwony
autonote or awards	Bless (White) = Purple + Blue	Błogosławieństwo (biały) = fioletowy + niebieski
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	Odporność na Magię Ciała (Biały) = Zielono-Niebieski (Naładowanie Różdżki) + Pomarańczowo-Żółty (Kamienna Skóra)
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Katalizator (Szary) = Szary odczynnik + pusta butelka.
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Katalizator (szary) = grzyby + pusta butelka. Dla zwiększenia efektu można użyć różnorodnych szarych odczynników.
autonote or awards	Cure Disease (Orange) = Yellow + Red	Uleczenie Choroby (Pomarańczowy) = Czerwony + Żółty
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	Uleczenie Obłędu = Pomarańczowy + Zielony
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	Uleczenie Paraliżu (Biały) = Pomarańczowo-Żółty (Kamienna Skóra) + Zielony 
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	Uleczenie Paraliżu (Biały) = Zielono-Żółty (Utwardzenie Przedmiotu) + Pomarańczowy 
autonote or awards	Cure Poison (Purple) = Blue + Red	Uleczenie Zatrucia (Fioletowy) = Niebieski + Czerwony
