# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/ru/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> ru
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	Увеличение Меткости (белое) = оранжевое + желтое и оранжевое слоями
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	Устойчивость к Воздуху (белое) = красное и оранжевое слоями + синее и фиолетовое слоями
autonote or awards	Awaken (Green) = Yellow + Blue	Пробуждение (Зеленое) = Желтое + Синее
autonote or awards	Bless (Red and Green Layered) = Red + Green	Благословение (Красное + Зеленое слоями) = Красное + Зеленое
autonote or awards	Bless (White) = Purple + Blue	Благословение (белое) = Пурпурное + Синее
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	Устойчивость Тела (белое) = синее и зеленое слоями + желтое и оранжевое слоями
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Катализатор (Серый) = Грибы + Пустая Бутылка.  Различные серые реагенты можно использовать для усугубления эффекта.
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Катализатор (Серый) = Грибы + Пустая бутылка. Различные серые реагенты могут использоваться для усиления эффекта снадобья.
autonote or awards	Cure Disease (Orange) = Yellow + Red	Исцеление болезней (Оранжевое) = Желтое + Красное
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	Исцеление безумия (оранжевое и зеленое слоями) = оранжевое + зеленое
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	Исцеление Паралича (белое) = зеленое + желтое и оранжевое слоями
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	Исцеление Паралича (белое) = оранжевое + желтое и зеленое слоями
autonote or awards	Cure Poison (Purple) = Blue + Red	Противоядие (Фиолетовое) = Синее + Красное
autonote or awards	Cure Weakness (Yellow) = Poppysnaps + Empty Bottle.  Different yellow reagents can be used for increased effect.	Исцеление слабости (Желтое) = Маковые коробочки  + Пустая Бутылка.  Различные желтые компоненты можно использовать для увеличения эффекта.
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle	Лечение Ран (красное) = Волчьи ягоды + Пустая бутылка
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle.  Different red reagents can be used for increased effect.	Исцеление ран (Красное) = Ягоды Вдовьих Слез + Пустая Бутылка.  Различные красные реагенты можно использовать для увеличения эффекта.
autonote or awards	Divine Boost = Divine Power + Any attribute boost potion.	
autonote or awards	Divine Cure (Black) = Restoration + Orange	Божественное лечение (черное) = Приведение в сознание + Оранжевое
autonote or awards	Divine Cure (White) = Red and Orange Layered + Yellow and Orange Layered	Божественное Исцеление (белое) = красное и оранжевое слоями + желтое и оранжевое слоями
autonote or awards	Divine Magic (Black) = Super Resistance + Green	Божественная магия (черное) = Сверхустойчивость + Зеленое
autonote or awards	Divine Power (Black) = Extreme Energy + Purple	Божественная сила (черное) = Сверхэнергия + Пурпурное
autonote or awards	Divine Power (White) = Blue and Green Layered + Yellow and Green Layered	Божественная Сила (белое) = синее и зеленое слоями + желтое и зеленое слоями
autonote or awards	Divine Protection = Divine Cure + Any resistance potion.	
autonote or awards	Divine Restoration (White) = Blue and Purple Layered + Yellow and Orange Layered	Божественное Восстановление (белое) = синее и фиолетовое слоями + желтое и оранжевое слоями
autonote or awards	Divine Restoration (White) = Red and Orange Layered + Blue and Green Layered	Божественное Восстановление (белое) = красное и оранжевое слоями + синее и зеленое слоями
autonote or awards	Divine Restoration (White) = Red and Purple Layered + Yellow and Green Layered	Божественное Восстановление (белое) = красное и фиолетовое слоями + желтое и зеленое слоями
autonote or awards	Divine Transcendence = Divine Restoration + Cure Insanity (or Remove Fear, or Remove Curse)	
autonote or awards	Earth Resistance (White) = Red and Purple Layered + Yellow and Orange Layered	Устойчивость к Земле (белое) = красное и фиолетовое слоями + желтое и оранжевое слоями
autonote or awards	Endurance Boost (White) = Purple + Blue and Purple Layered	Увеличение Выносливости (белое) = фиолетовое + синее и фиолетовое слоями
autonote or awards	Energy (Yellow) = Poppysnaps + Empty Bottle	Энергия (желтое) = Маковый хруст + Пустая бутылка
autonote or awards	Essence of Accuracy (Black) = Bless + Yellow	Эссенция меткости (черное) = Благословение + Желтое
autonote or awards	Essence of Accuracy = Cure Insanity + Stoneskin	
autonote or awards	Essence of Endurance (Black) = Supreme Protection + Yellow	Эссенция выносливости (черное) = Высшая Защита + Желтое
autonote or awards	Essence of Endurance = Remove Curse + Recharge Item	
autonote or awards	Essence of Intellect (Black) = Stone Skin + Blue	Эссенция интеллекта (черное) = Каменная кожа + Синее
autonote or awards	Essence of Intellect = Remove Curse + Shield	
autonote or awards	Essence of Luck (Black) = Super Resistance + Purple	Эссенция удачи (черное) = Сверхустойчивость + Пурпурное
autonote or awards	Essence of Luck = Haste + Heroism, Recharge Item + Shield, Harden Item + Stoneskin	
autonote or awards	Essence of Might (Black) = Heroism + Red	Эссенция силы (черное) = Мужество + Красное
autonote or awards	Essence of Might = Remove Fear + Heroism	
autonote or awards	Essence of Personality (Black) = Restoration + Blue	Эссенция силы духа (черное) = Приведение в сознание + Синее
autonote or awards	Essence of Personality = Remove Fear + Haste	
autonote or awards	Essence of Speed (Black) = Haste + Red	Эссенция скорости (черное) = Ускорение + Красное
autonote or awards	Essence of Speed = Cure Insanity + Harden Item	
autonote or awards	Extreme Energy (White) = Orange + Yellow	Сверхэнергия (белое) = Оранжевое + Желтое
autonote or awards	Fire Resistance (White) = Red and Orange Layered + Yellow and Green Layered	Устойчивость к Огню (белое) = красное и оранжевое слоями + желтое и зеленое слоями
autonote or awards	Flaming Potion (White) = Green + Red and Orange Layered	Пылающее Зелье (белое) = зеленое + красное и оранжевое слоями
autonote or awards	Flaming Potion (White) = Purple + Yellow and Orange Layered	Пылающее Зелье (белое) = фиолетовое + желтое и оранжевое слоями
autonote or awards	Freezing Potion (White) = Green + Red and Purple Layered	Замораживающее Зелье (белое) = зеленое + красное и фиолетовое слоями
autonote or awards	Freezing Potion (White) = Orange + Blue and Purple Layered	Замораживающее Зелье (белое) = оранжевое + синее и фиолетовое слоями
autonote or awards	Harden Item (Yellow and Green Layered) = Yellow + Green	Добавить прочности предмету (желтое и зеленое слоями) = желтое + зеленое
autonote or awards	Haste (Red and Orange Layered) = Red + Orange	Ускорение (Красное и Оранжевое слоями) =  Красное + Оранжевое
autonote or awards	Haste (White) = Green + Yellow	Ускорение (белое) = Зеленое + Желтое
autonote or awards	Heroism (Red and Purple Layered) = Red + Purple	Героизм (Красное и Фиолетовое слоями) = Красное + Фиолетовое
autonote or awards	Heroism (White) = Orange + Red	Мужество (белое) = Оранжевое + Красное
autonote or awards	Intellect Boost (White) = Green + Yellow and Green Layered	Увеличение Интеллекта (белое) = зеленое + желтое и зеленое слоями
autonote or awards	Luck Boost (White) = Red and Purple Layered + Blue and Purple Layered	Увеличение Удачи (белое) = красное и фиолетовое слоями + синее и фиолетовое слоями
autonote or awards	Luck Boots (White) = Red and Purple Layered + Blue and Purple Layered	Сапоги Удачи (Белое) = Красно-пурпурное + Сине-пурпурное
autonote or awards	Magic Potion (Blue) = Phima Root + Empty Bottle.  Different blue reagents can be used for increased effect.	Волшебное зелье (Синее) = Корень Фимы + Пустая Бутылка. Различные синие реагенты можно использовать для увеличения эффекта.
autonote or awards	Magic Potion (Blue) = Phirna Root + Empty Bottle	Магическое снадобье (синее) = Корень бузины + Пустая бутылка
autonote or awards	Magic Potion (Blue) = Phirna Root + Empty Bottle.  Different blue reagents can be used for increased effect.	Магическое снадобье (Синее) = Корень бузины + Пустая бутылка. Различные синие реагенты могут использоваться для усиления эффекта снадобья.
autonote or awards	Might Boost (White) = Purple + Red and Purple Layered	Увеличение Мощи (белое) = фиолетовое + красное и фиолетовое слоями
autonote or awards	Mind Resistance (White) = Red and Purple Layered + Blue and Green Layered	Устойчивость Разума (белое) = красное и фиолетовое слоями + синее и зеленое слоями
autonote or awards	Noxious Potion (White) = Orange + Blue and Green Layered	Вредоносное Зелье (белое) = оранжевое + синее и зеленое слоями
autonote or awards	Noxious Potion (White) = Purple + Yellow and Green Layered	Вредоносное Зелье (белое) = фиолетовое + желтое и зеленое слоями
autonote or awards	Personality Boost (White) = Green + Blue and Green Layered	Увеличение Лидерства (белое) = зеленое + синее и зеленое слоями
autonote or awards	Potion of Doom = Remove Curse + Remove Fear, Remove Curse + Cure Insanity, Remove Fear + Cure Insanity	
autonote or awards	Potion of the Gods = Essense of Might + Harden item or Essence of Intellect + Stoneskin or Essence of Personality + Recharge item or Essence of Endurance + Haste or Essence of Accuracy + Shield or Essence of Speed + Heroism.	
autonote or awards	Preservation (Blue and Orange Layered) = Blue + Orange	Сохранение (Синее и Оранжевое слоями) = Синее + Оранжевое
autonote or awards	Protection (Orange) = Yellow + Red	Защита (оранжевое) = Желтое + Красное
autonote or awards	Protection from Magic = Cure Insanity + Bless	
autonote or awards	Protection from Magic = Remove Curse + Water Breathing	
autonote or awards	Protection from Magic = Remove Fear + Preservation	
autonote or awards	Pure Accuracy (Black) = Green Potion + Accuracy Boost (White)	Абсолютная Меткость (черное) = зеленое зелье + Увеличение Меткости (белое)
autonote or awards	Pure Air Resistance = Essence of Luck + Air Resistance	
autonote or awards	Pure Body Resistance = Essence of Luck + Body Resistance	
autonote or awards	Pure Earth Resistance = Essence of Luck + Earth Resistance	
autonote or awards	Pure Endurance (Black) = Green Potion + Endurance Boost (White)	Абсолютная Выносливость (черное) = зеленое зелье + Увеличение Выносливости (белое)
autonote or awards	Pure Fire Resistance = Essence of Luck + Fire Resistance	
autonote or awards	Pure Intellect (Black) = Orange Potion + Intellect Boost (White)	Абсолютный Интеллект (черное) = оранжевое зелье + Увеличение Интеллекта (белое)
autonote or awards	Pure Luck (Black) = Yellow and Orange Layered + Swift Potion (White)	Абсолютная Удача (черное) = желтое и оранжевое слоями + Зелье Ускорения (белое)
autonote or awards	Pure Might (Black) = Orange Potion + Might Boost (White)	Абсолютная Мощь (черное) = оранжевое зелье + Увеличение Мощи (белое)
autonote or awards	Pure Mind Resistance = Essence of Luck + Mind Resistance	
autonote or awards	Pure Personality (Black) = Purple Potion + Personality Boost (White)	Абсолютное Лидерство (черное) = фиолетовое зелье + Увеличение Лидерства (белое)
autonote or awards	Pure Speed (Black) = Purple Potion + Speed Boost (White)	Абсолютная Скорость (черное) = фиолетовое зелье + Увеличение Скорости (белое)
autonote or awards	Pure Water Resistance = Essence of Luck + Water Resistance	
autonote or awards	Recharge Item (Blue and Green Layered) = Blue + Green	Перезарядка предмета (Синее и зеленое слоями) = Синее + Зеленое
autonote or awards	Rejuvenation (Black) = Blue and Orange Layered + Divine Restoration (White)	Омоложение (черное) = синее и оранжевое слоями + Божественное Восстановление (белое)
autonote or awards	Rejuvenation (Black) = Extreme Energy + Green	Омоложение (черное) = Сверхэнергия + Зеленое
autonote or awards	Rejuvenation (Black) = Red and Green Layered + Divine Restoration (White)	Омоложение (черное) = красное и зеленое слоями + Божественное Восстановление (белое)
autonote or awards	Rejuvenation (Black) = Yellow and Purple Layered + Divine Restoration (White)	Омоложение (черное) = желтое и фиолетовое слоями + Божественное Восстановление (белое)
autonote or awards	Remove Curse (Purple and Green Layered) = Purple + Green	Снятие проклятия (фиолетовое и зеленое слоями) = фиолетовое + зеленое
autonote or awards	Remove Fear (Orange and Purple Layered) = Orange + Purple	Изгнание страха (оранжевое и фиолетовое слоями) = оранжевое + фиолетовое
autonote or awards	Resistance (Green) = Yellow + Blue	Устойчивость (зеленое) = Желтое + Синее
autonote or awards	Restoration(White) = Purple + Green	Приведение в сознание (белое) = Пурпурное + Зеленое
autonote or awards	Shield (Blue and Purple Layered) = Blue + Purple	Защита (Синее и Фиолетовое слоями) = Синее + Фиолетовое
autonote or awards	Shocking Potion (White) = Orange + Red and Purple Layered	Шоковое
autonote or awards	Shocking Potion (White) = Purple + Red and Orange Layered	Шоковое Зелье (белое) = фиолетовое + красное и оранжевое слоями
autonote or awards	Slaying Potion (Black) = Blue and Purple Layered + Flaming Potion (White)	Убийственное Зелье (черное) = синее и фиолетовое слоями + Пылающее Зелье (белое)
autonote or awards	Speed Boost (White) = Orange + Red and Orange Layered	Увеличение Скорости (белое) = оранжевое + красное и оранжевое слоями
autonote or awards	Stone Skin (White) = Orange + Blue	Каменная кожа (белое) = Оранжевое + Синее
autonote or awards	Stone to Flesh (Black) = Red and Purple Layered + Cure Paralysis (White)	Размягчение (черное) = красное и фиолетовое слоями + Исцеление Паралича (белое)
autonote or awards	Stoneskin (Yellow and Orange Layered) = Yellow + Orange	Каменная кожа (Желтое и Оранжевое слоями) = Желтое + Оранжевое
autonote or awards	Super Resistance (White) = Green + Blue	Сверхустойчивость (белое) = Зеленое + Синее
autonote or awards	Supreme Protection (White) = Orange + Green	Высшая Защита (белое) = Оранжевое + Зеленое
autonote or awards	Swift Potion (White) = Green + Blue and Purple Layered	Зелье Ускорения (белое) = зеленое + синее и фиолетовое слоями
autonote or awards	Swift Potion (White) = Purple + Blue and Green Layered	Зелье Ускорения (белое) = фиолетовое + синее и зеленое слоями
