# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/zh_CN/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> zh_CN
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	精确药剂（白色）= 橙色药剂 + 黄橙相间药剂
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	御风药剂（白色）= 红橙相间药剂 + 蓝紫相间药剂
autonote or awards	Awaken (Green) = Yellow + Blue	催醒奇术药剂（绿色）= 黄色药剂 + 蓝色药剂
autonote or awards	Bless (Red and Green Layered) = Red + Green	圣灵佑佐药剂（红绿相间）= 红色药剂 + 绿色药剂
autonote or awards	Bless (White) = Purple + Blue	圣灵佑佐药剂（白色）= 紫色药剂 + 蓝色药剂
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	御体药剂（白色）= 蓝绿相间药剂 + 黄橙相间药剂
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	催化剂（灰色）= 蘑菇 + 空药剂瓶。各种灰色试剂的效果不同。
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	催化剂（灰色）= 蘑菇 + 空药剂瓶。各种灰色试剂的效果不同。
autonote or awards	Cure Disease (Orange) = Yellow + Red	治愈疾病药剂（橙色）= 黄色药剂 + 红色药剂
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	治愈痴狂药剂（橙绿相间）= 橙色药剂 + 绿色药剂
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	治愈麻痹药剂（白色）= 绿色药剂 + 黄橙相间药剂
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	治愈麻痹药剂（白色）= 橙色药剂 + 黄绿相间药剂
autonote or awards	Cure Poison (Purple) = Blue + Red	解毒药剂（紫色）= 蓝色药剂 + 红色药剂
autonote or awards	Cure Weakness (Yellow) = Poppysnaps + Empty Bottle.  Different yellow reagents can be used for increased effect.	治愈虚弱药剂（黄色）= 罂粟花 + 空药剂瓶。各种黄色试剂的效果不同。
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle	疗伤药剂（红色）= 柳条浆果 + 空药剂瓶
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle.  Different red reagents can be used for increased effect.	疗伤药剂（红色）= 柳条浆果 + 空药剂瓶。各种红色试剂的效果不同。
autonote or awards	Divine Boost = Divine Power + Any attribute boost potion.	神圣提升药剂 = 神圣力量药剂 + 任意七属性药剂
autonote or awards	Divine Cure (Black) = Restoration + Orange	神圣医疗药剂（黑色）= 恢复药剂 + 橙色药剂
autonote or awards	Divine Cure (White) = Red and Orange Layered + Yellow and Orange Layered	神圣医疗药剂（白色）= 红橙相间药剂 + 黄橙相间药剂
autonote or awards	Divine Magic (Black) = Super Resistance + Green	神圣魔法药剂（黑色）= 超级防御药剂 + 绿色药剂
autonote or awards	Divine Power (Black) = Extreme Energy + Purple	神圣力量药剂（黑色）= 顶级能量药剂 + 紫色药剂
autonote or awards	Divine Power (White) = Blue and Green Layered + Yellow and Green Layered	神圣力量药剂（白色）= 蓝绿相间药剂 + 黄绿相间药剂
autonote or awards	Divine Protection = Divine Cure + Any resistance potion.	神圣保护药剂 = 神圣医疗药剂 + 任意抗性防御药剂
autonote or awards	Divine Restoration (White) = Blue and Purple Layered + Yellow and Orange Layered	神圣恢复药剂（白色）= 蓝紫相间药剂 + 黄橙相间药剂
autonote or awards	Divine Restoration (White) = Red and Orange Layered + Blue and Green Layered	神圣恢复药剂（白色）= 红橙相间药剂 + 蓝绿相间药剂
autonote or awards	Divine Restoration (White) = Red and Purple Layered + Yellow and Green Layered	神圣恢复药剂（白色）= 红紫相间药剂 + 黄绿相间药剂
autonote or awards	Divine Transcendence = Divine Restoration + Cure Insanity (or Remove Fear, or Remove Curse)	神圣超越药剂 = 神圣恢复药剂 + 治愈痴狂药剂（或 驱逐恐惧药剂 或 驱魔除咒药剂）
autonote or awards	Earth Resistance (White) = Red and Purple Layered + Yellow and Orange Layered	御土药剂（白色）= 红紫相间药剂 + 黄橙相间药剂
autonote or awards	Endurance Boost (White) = Purple + Blue and Purple Layered	耐力药剂（白色）= 紫色药剂 + 蓝紫相间药剂
autonote or awards	Energy (Yellow) = Poppysnaps + Empty Bottle	能量药剂（黄色）= 罂粟花 + 空药剂瓶
autonote or awards	Essence of Accuracy (Black) = Bless + Yellow	精确精髓药剂（黑色）= 圣灵佑佐药剂 + 黄色药剂
autonote or awards	Essence of Accuracy = Cure Insanity + Stoneskin	精确精髓药剂 = 治愈痴狂药剂 + 护体石肤药剂
autonote or awards	Essence of Endurance (Black) = Supreme Protection + Yellow	耐力精髓药剂（黑色）= 超级保护药剂 + 黄色药剂
autonote or awards	Essence of Endurance = Remove Curse + Recharge Item	耐力精髓药剂 = 驱魔除咒药剂 + 魔力填充药剂
autonote or awards	Essence of Intellect (Black) = Stone Skin + Blue	智力精髓药剂（黑色）= 护体石肤药剂 + 蓝色药剂
autonote or awards	Essence of Intellect = Remove Curse + Shield	智力精髓药剂 = 驱魔除咒药剂 + 护体神盾药剂
autonote or awards	Essence of Luck (Black) = Super Resistance + Purple	运气精髓药剂（黑色）= 超级防御药剂 + 紫色药剂
autonote or awards	Essence of Luck = Haste + Heroism, Recharge Item + Shield, Harden Item + Stoneskin	运气精髓药剂 = 攻击加速药剂 + 天赐神力药剂 或 魔力填充药剂 + 护体神盾药剂 或 强化物品药剂 + 护体石肤药剂
autonote or awards	Essence of Might (Black) = Heroism + Red	力量精髓药剂（黑色）= 天赐神力药剂 + 红色药剂
autonote or awards	Essence of Might = Remove Fear + Heroism	力量精髓药剂 = 驱逐恐惧药剂 + 天赐神力药剂
autonote or awards	Essence of Personality (Black) = Restoration + Blue	个性精髓药剂（黑色）= 恢复药剂 + 蓝色药剂
autonote or awards	Essence of Personality = Remove Fear + Haste	个性精髓药剂 = 驱逐恐惧药剂 + 攻击加速药剂
autonote or awards	Essence of Speed (Black) = Haste + Red	速度精髓药剂（黑色）= 攻击加速药剂 + 红色药剂
autonote or awards	Essence of Speed = Cure Insanity + Harden Item	速度精髓药剂 = 治愈痴狂药剂 + 强化物品药剂
autonote or awards	Extreme Energy (White) = Orange + Yellow	顶级能量药剂（白色）= 橙色药剂 + 黄色药剂
autonote or awards	Fire Resistance (White) = Red and Orange Layered + Yellow and Green Layered	御火药剂（白色）= 红橙相间药剂 + 黄绿相间药剂
autonote or awards	Flaming Potion (White) = Green + Red and Orange Layered	火焰药剂（白色）= 绿色药剂 + 红橙相间药剂
autonote or awards	Flaming Potion (White) = Purple + Yellow and Orange Layered	火焰药剂（白色）= 紫色药剂 + 黄橙相间药剂
