Table (of Game struct)	Id	Field	New text
MessageScrolls	0		 A Black Potion of Rejuvenation can be valuable in correcting the effects of aging.  To mix such a potion you need to find the correct combination of three of each of the base reagents. 
	1		 A Black Potion of Pure Might is any adventurer's dream.  The addition to permanent might can turn ANYONE into a fighting machine.  To mix this potion you need the correct combination of four of any red reagent type, plus two of any blue reagent type and one of the yellow reagents.  
	2		 A Black Potion of Pure Accuracy is any archer's dream.  The addition to permanent accuracy can turn ANYONE into a fighting machine.  To mix this potion you need the correct combination of four of any yellow reagent type, plus two of any red reagent type and one of the blue reagents.  
	3		 The Black Potion of Pure Personality will add to a character's permanent personality. This will increase the total spell points based off Personality. To mix this potion you need the correct combination of one of any red reagent type, plus four of any blue reagent type and two of the yellow reagents.  
	4		 A Black Potion of Pure Endurance is any adventurer's dream.  The addition to permanent endurance can turn ANYONE into a fighting machine, increasing their hit points far beyond normal.  To mix this potion you need the correct combination of two of any red reagent type, plus four of any blue reagent type and one of the yellow reagents.  
	5		 The Black Potion of Pure Intellect will add to a character's permanent intellect, increasing the total spell points based off of intellect. To mix this potion you need the correct combination of one of any red reagent type, plus two of any blue reagent type and four of the yellow reagents.  
	6		 The Black Potion of Pure Speed could be the answer for a party who just doesn't get the jump on the monsters.  The addition to permanent speed could be just what is needed to allow you to recover and act before the monsters do.  You can never be too quick. To mix this potion you need the correct combination of four of any red reagent type, plus one of any blue reagent type and two of the yellow reagents.  
	7		 The Black Potion of Pure Luck could be the answer for a party who is disarm trap skill challenged.  The addition to permanent luck could be just what is needed to allow you to duck before a trap goes off.  You can never have too much luck. To mix this potion you need the correct combination of two of any red reagent type, plus three of any blue reagent type and three of the yellow reagents.
	8		 The Black Potion of Slaying can turn any normal weapon into a weapon of dragon slaying.  To mix this potion you need the correct combination of three of any red reagent type, plus three of any blue reagent type and two of the yellow reagents.
	9		 The Black Potion of Stone to Flesh allows you to remove the stoned condition on a character. To mix this potion you need the correct combination of three of any red reagent type, plus two of any blue reagent type and three of the yellow reagents.
	10		 The White Potion of Might Boost temporarily boosts your strength just when you need it. To mix this potion you need the correct combination of three of any red reagent type and two of any blue reagents.
	11		 The White Potion of Intellect Boost temporarily boosts your intellect just when you need it. To mix this potion you need the correct combination of two of any blue reagent type and three of any yellow reagents.
	12		 The White Potion of Personality Boost temporarily boosts your personality just when you need it. To mix this potion you need the correct combination of three of any blue reagent type and two of any yellow reagents.
	13		 The White Potion of Endurance Boost temporarily boosts your endurance just when you need it. To mix this potion you need the correct combination of two of any red reagent type and three of any blue reagents.
	14		 The White Potion of Speed Boost temporarily boosts your speed just when you need it. To mix this potion you need the correct combination of three of any red reagent type and two of any yellow reagents.
	15		 The White Potion of Accuracy Boost temporarily boosts your accuracy just when you need it. To mix this potion you need the correct combination of two of any red reagent type and three of any yellow reagents.
	16		 The White Flaming Potion turns any normal weapon into a weapon of Flame. To mix this potion you need the correct combination of two of any red reagent type, plus one of any blue reagent type and two of the yellow reagents.
	17		 The White Freezing Potion turns any normal weapon into a weapon of Frost. To mix this potion you need the correct combination of two of any red reagent type, plus two of any blue reagent type and one of the yellow reagents.
	18		 The White Noxious Potion turns any normal weapon into a weapon of Poison. To mix this potion you need the correct combination of one of any red reagent type, plus two of any blue reagent type and two of the yellow reagents.
	19		 The White Shocking Potion turns any normal weapon into a weapon of Sparks. To mix this potion you need the correct combination of three of any red reagent type, plus one of any blue reagent type and one of the yellow reagents.
