Table (of Game struct)	Id	Field	New text
MonstersTxt	0	Name	
	1	Name	Lizardman Peasant
	2	Name	Lizardman Farmer
	3	Name	Lizardman Villager
	4	Name	Lizardman Soldier
	5	Name	Lizardman Sergeant
	6	Name	Lizardman Captain
	7	Name	Young Couatl
	8	Name	Couatl
	9	Name	Winged Serpent
	10	Name	Regnan Bandit
	11	Name	Regnan Pirate
	12	Name	Regnan Brigadier
	13	Name	Regnan Crossbowman
	14	Name	Regnan Arbalester
	15	Name	Regnan Lieutenant
	16	Name	Regnan Sorcerer
	17	Name	Regnan Battlemage
	18	Name	Regnan Archmage
	19	Name	Dark Elf Peasant
	20	Name	Dark Elf Peasant
	21	Name	Dark Elf Peasant
	22	Name	Dark Elf Peasant
	23	Name	Dark Elf Peasant
	24	Name	Dark Elf Peasant
	25	Name	Dark Elven Warrior
	26	Name	Dark Elven Defender
	27	Name	Dark Elven Crusader
	28	Name	Ogre Peasant
	29	Name	Ogre Peasant
	30	Name	Ogre Peasant
	31	Name	Ogre Brawler
	32	Name	Ogre Warrior
	33	Name	Ogre Warleader
	34	Name	Animalist
	35	Name	Shapeshifter
	36	Name	Lycanthrope
	37	Name	Ratman
	38	Name	Wererat
	39	Name	Greater Wererat
	40	Name	Bestial Animalist
	41	Name	Bestial Shapeshifter
	42	Name	Bestial Lycanthrope
	43	Name	Dragon Hunter
	44	Name	Crusader
	45	Name	Dragonslayer
	46	Name	Acolyte of the Sun
	47	Name	Cleric of the Sun
	48	Name	Priest of the Sun
	49	Name	Peasant
	50	Name	Peasant
	51	Name	Peasant
	52	Name	Vampire Minion
	53	Name	Vampire
	54	Name	Greater Vampire
	55	Name	Dark Path Journeyman
	56	Name	Necromancer
	57	Name	Master Necromancer
	58	Name	Troll Clubman
	59	Name	Troll Warrior
	60	Name	Troll Chieftain
	61	Name	Troll Peasant
	62	Name	Troll Peasant
	63	Name	Troll Peasant
	64	Name	Minotaur Guard
	65	Name	Minotaur Warrior
	66	Name	Minotaur Battleleader
	67	Name	Minotaur Peasant
	68	Name	Minotaur Peasant
	69	Name	Minotaur Peasant
	70	Name	Dragon
	71	Name	Dragon Flightleader
	72	Name	Great Wyrm
	73	Name	Lesser Fire Elemental
	74	Name	Fire Elemental
	75	Name	Greater Fire Elemental
	76	Name	Lesser Water Elemental
	77	Name	Water Elemental
	78	Name	Greater Water Elemental
	79	Name	Lesser Earth Elemental
	80	Name	Earth Elemental
	81	Name	Greater Earth Elemental
	82	Name	Lesser Air Elemental
	83	Name	Air Elemental
	84	Name	Greater Air Elemental
	85	Name	Dire Wolf Yearling
	86	Name	Dire Wolf
	87	Name	Pack Leader
	88	Name	Young Basilisk
	89	Name	Basilisk
	90	Name	Elder Basilisk
	91	Name	Cyclops
	92	Name	Cyclops Hunter
	93	Name	Cyclops Warrior
	94	Name	Serpentman
	95	Name	Serpentman Elder
	96	Name	Serpentman Warrior
	97	Name	Dancing Light
	98	Name	Wisp 
	99	Name	Will O' Wisp
	100	Name	Centaur
	101	Name	Centaur Warrior
	102	Name	Centaur Warlord
	103	Name	Efreeti Soldier
	104	Name	Efreeti Knight
	105	Name	Efreeti Lord
	106	Name	Ogre Mage Apprentice
	107	Name	Ogre Mage 
	108	Name	Ogre Magi
	109	Name	Unicorn Foal
	110	Name	Unicorn
	111	Name	Unicorn Herd Leader
	112	Name	Emerald Dragon
	113	Name	Sapphire Dragon
	114	Name	Ruby Dragon
	115	Name	Mist Hawk
	116	Name	Storm Eagle
	117	Name	Thunderbird
	118	Name	Wasp Worker
	119	Name	Wasp Sentry
	120	Name	Wasp Warrior
	121	Name	Wyvern 
	122	Name	Horned Wyvern
	123	Name	Ancient Wyvern
	124	Name	Brass Gorgon
	125	Name	Bronze Gorgon
	126	Name	Iron Gorgon
	127	Name	Fire Newt
	128	Name	Fire Lizard
	129	Name	Salamander 
	130	Name	Fire Bird
	131	Name	Phoenix
	132	Name	Grand Phoenix
	133	Name	Triton 
	134	Name	Triton Warrior
	135	Name	Triton Crusader
	136	Name	Young Dragon Turtle
	137	Name	Dragon Turtle
	138	Name	Elder Tortoise
	139	Name	Rook
	140	Name	Corbie
	141	Name	Raven
	142	Name	Boulder
	143	Name	Boulder
	144	Name	Boulder
	145	Name	Plane Guardian
	146	Name	Plane Protector
	147	Name	Plane Overlord
	148	Name	Crystal Walker
	149	Name	Crystal Sentry
	150	Name	Crystal Guardian
	151	Name	Fear
	152	Name	Terror
	153	Name	Nightmare
	154	Name	Ether Knight
	155	Name	Ether Champion
	156	Name	Ether Lord
	157	Name	Charger
	158	Name	Juggernaut
	159	Name	Demolisher
	160	Name	Smoke Gog
	161	Name	Ember Gog
	162	Name	Fire Gog
	163	Name	Skeletal Dragon
	164	Name	Bone Dragon
	165	Name	Undead Dragon
	166	Name	Human Peasant
	167	Name	Human Peasant
	168	Name	Human Peasant
	169	Name	Naga 
	170	Name	Naga Warrior
	171	Name	Naga Queen
	172	Name	Skeleton Bowman
	173	Name	Skeleton Hunter
	174	Name	Skeleton Archer 
	175	Name	Dark Dwarf Grunt
	176	Name	Dark Dwarf Pounder
	177	Name	Dark Dwarf Berserker
	178	Name	Fish
	179	Name	Fish
	180	Name	Fish
	181	Name	Pirate
	182	Name	Buccaneer
	183	Name	Corsair
	184	Name	Regnan Crossbowman
	185	Name	Regnan Arbalester
	186	Name	Regnan Lieutenant
	187	Name	Pirate Seer
	188	Name	Pirate Magi
	189	Name	Pirate Wizard
	190	Name	Hatchling
	191	Name	Dragonette
	192	Name	Young Dragon
	193	Name	Soldier of Fortune
	194	Name	Mercenary
	195	Name	Mercenary Captain
	196	Name	Chaos Guardian
	197	Name	Chaos Protector
	198	Name	Chaos Overlord
	199	Name	Angel
	200	Name	Angel Lord
	201	Name	Archangel
	202	Name	Archer
	203	Name	Bowman
	204	Name	Elite Archer
	205	Name	Giant Bat
	206	Name	Vampire Bat
	207	Name	Inferno Bat
	208	Name	Young Behemoth
	209	Name	Behemoth
	210	Name	Ancient Behemoth
	211	Name	Floating Eye
	212	Name	Gazer
	213	Name	Evil Eye
	214	Name	Acolyte of the Moon
	215	Name	Cleric of the Moon
	216	Name	Priest of the Moon
	217	Name	Acolyte of the Sun
	218	Name	Cleric of the Sun
	219	Name	Priest of the Sun
	220	Name	Devil Worker
	221	Name	Devil Warrior
	222	Name	Devil Captain
	223	Name	Green Dragon
	224	Name	Blue Dragon
	225	Name	Red Dragon
	226	Name	Dragonfly
	227	Name	Fire Dragonfly
	228	Name	Queen Dragonfly
	229	Name	Dwarven Soldier
	230	Name	Dwarven Lieutenant
	231	Name	Dwarven Commander
	232	Name	Tempest
	233	Name	Cyclone
	234	Name	Air Elemental
	235	Name	Clay Elemental
	236	Name	Stone Elemental
	237	Name	Earth Elemental
	238	Name	Warden of Fire
	239	Name	Guardian of Flame
	240	Name	Fire Elemental
	241	Name	Lesser Light Elemental
	242	Name	Light Elemental
	243	Name	Greater Light Elemental
