Table (of Game struct)	Id	Field	New text
NPCDataTxt	0	Name	
	1	Name	Brekish Onefang
	2	Name	Dadeross
	3	Name	Elgar Fellmoon
	4	Name	Arion Hunter
	5	Name	Bastian Loudrin
	6	Name	Alliane Frelsig
	7	Name	Overdune Snapfinger
	8	Name	Aori Derrisai
	9	Name	Sandro
	10	Name	Thant
	11	Name	Dyson Leland
	12	Name	Icarus Dire
	13	Name	Masul
	14	Name	Helius
	15	Name	Sir Charles Quixote
	16	Name	Reginald Dorray
	17	Name	Deftclaw Redreaver
	18	Name	Zog the Jackal
	19	Name	Xanthor
	20	Name	Queen Catherine
	21	Name	King Roland
	22	Name	Escaton
	23	Name	Pyrannaste
	24	Name	Acwalander
	25	Name	Gralkor the Cruel
	26	Name	Shalwend
	27	Name	S'ton
	28	Name	Fredrick Talimere
	29	Name	Rohtnax
	30	Name	Pascella Tisk
	31	Name	Brekish Onefang
	32	Name	Dadeross
	33	Name	Oskar Tyre
	34	Name	Guard
	35	Name	Guard
	36	Name	Guard
	37	Name	Guard
	38	Name	Jeric Whistlebone
	39	Name	Relburn Jeebes
	40	Name	Elgar Fellmoon
	41	Name	Dantillion 
	42	Name	Cauri Blackthorne
	43	Name	Volog Sandwind
	44	Name	Sahil Ittalle
	45	Name	Guard
	46	Name	Dark Elf Pilgrim
	47	Name	Farhill Snapfinger
	48	Name	Zanthora
	49	Name	Leane Stormlance
	50	Name	Dervish Chevron
	51	Name	Garret Deverro
	52	Name	Sir Charles Quixote
	53	Name	Deftclaw Redreaver
	54	Name	Oskar Tyre
	55	Name	Masul
	56	Name	Sandro
	57	Name	Thanys
	58	Name	Tessalar
	59	Name	Stephen
	60	Name	Cleric of the Sun
	61	Name	Vetrinus Taleshire
	62	Name	Lathean
	63	Name	Thant
	64	Name	Derrin Delver
	65	Name	Aislen
	66	Name	Languid
	67	Name	Hobb Sandwind
	68	Name	Thistle
	69	Name	Hiss
	70	Name	Isthric the Tongue
	71	Name	Maddigan the Tracker
	72	Name	Wilburt
	73	Name	Lathius
	74	Name	Rihansi
	75	Name	Reaver
	76	Name	Keldon
	77	Name	Galvinus
	78	Name	Talion
	79	Name	Veldon
	80	Name	Dirthic
	81	Name	Husk
	82	Name	Hobert
	83	Name	Kelvin
	84	Name	Pole
	85	Name	Xevius
	86	Name	Schmecker
	87	Name	Calindril
	88	Name	Castigeir
	89	Name	Balion Tearwing
	90	Name	Avalon
	91	Name	Jerin Flame-eye
	92	Name	Zelim
	93	Name	Tantilion
	94	Name	Benefice
	95	Name	Hallien
	96	Name	One-Eye
	97	Name	Long-Tail
	98	Name	Treblid
	99	Name	Gibere
	100	Name	Mylander
	101	Name	Whisper
	102	Name	Irabelle Hunter
	103	Name	Pavel
	104	Name	Journey
	105	Name	Neblick
	106	Name	Cagnor
	107	Name	Blazen Stormlance
	108	Name	Dread Pirate Stanley
	109	Name	Bryant Conlan
	110	Name	Cahalli Evenall
	111	Name	Harry Merit
	112	Name	Aerie Luodrin
	113	Name	Jaycin Cardron
	114	Name	Miyon Dragontracker
	115	Name	Herald Foestryke
	116	Name	Jasp Hunter
	117	Name	Garic Senjac
	118	Name	Puddle Thain
	119	Name	Celia Stone
	120	Name	Tristen Stillwater
	121	Name	Matric Townsaver
	122	Name	Ashandra Withersmythe
	123	Name	Yarrow
	124	Name	Lori Vespers
	125	Name	Jobber 
	126	Name	Karla Nirses
	127	Name	Shivan Keeneye
	128	Name	Oberic Nosewort
	129	Name	Solis
	130	Name	Lisha Sourbrow
	131	Name	Robert Morningstar
	132	Name	Brother Hearthsworn
	133	Name	Thadin 
	134	Name	Shamus Hollyfield
	135	Name	Medwari Elmsmire
	136	Name	Tobren Forgewright
	137	Name	Halian Eversmyle
	138	Name	Seline Burnkindle
	139	Name	Bone
	140	Name	Botham
	141	Name	Sethine Ironfist
	142	Name	Qillain Moore
	143	Name	Sheldon Nightwood
	144	Name	Peryn Reaverston
	145	Name	Taren Temper
	146	Name	Solomon Steele
	147	Name	Burn
	148	Name	Ulbrecht Pederton
	149	Name	Gregory Mist
	150	Name	Black Current
	151	Name	Reshie 
	152	Name	Hollis Stormeye
	153	Name	Cloud Nedlon
	154	Name	Ostrin Grivic
	155	Name	Dorothy Sablewood
	156	Name	Griven
	157	Name	Straton Hawthorne
	158	Name	Bethold Kern
	159	Name	Lasiter Ravensight
	160	Name	Shane Krewlen
	161	Name	Barbara Lotts
	162	Name	Gilad Dreamwright
	163	Name	Zevah Poised
	164	Name	Tugor Arin
	165	Name	Critias Snowtree
	166	Name	Archibald Dawnsglow
	167	Name	Lunius Dawnbringer
