Table (of Game struct)	Id	Field	New text
NPCNewsTopics	0		Ooops text
	1		Peasants on main island of Dagger Wound before the pirate outpost is defeated
	2		Peasants on main island of Dagger Wound after the pirate outpost is defeated (Questbit 6)
	3		Peasants on smaller islands before teleporters are fixed
	4		Peasants on smaller islands after teleporters are fixed (questbit 2)
	5		Pirates on Dagger Wound Island
	6		Wolves
	7		Peasants in Ravenshore city
	8		Wererats
	9		Were-rats in Smugglers Cove after Fellmoon's letter has been delivered (Questbit 4).  Rats in Dungeo
	10		All Peasants after end game
	11		Lizardman Lookouts/cannons
	12		Lizardmen Warriors
	13		Lzardmen Warriors after Questbit 6
	14		Ogres
	15		Wasps
	16		News
	17		Peasants in Ironsand/Rust
	18		Peasants in Ironsand/Rust
	19		Peasants in Ironsand/Rust
	20		Dragon Hunters in Fort
	21		Dragon Hunters in Fort
	22		Dragon Hunters at Training Camp
	23		Peasants in Shadowspire
	24		Peasants in Shadowspire
	25		Peasants in Shadowspire
	26		Peasants in Murmurwoods
	27		Peasants in Murmurwoods
	28		Ogres in Ravage Roaming by Zog's fort
	29		Ogres in Ravage Roaming by boat dock
	30		Peasant Pirates of Regna
	31		Peasant Pirates of Regna
	32		Peasant Pirates of Regna
	33		Peasant Minotaurs in Balzathar Lair
	34		Water
	35		Masul
	36		
	37		 
	38		 
	39		Clerics(area 7)
	40		Clerics(area 7)
	41		Nercros in guild
	42		Necros in guild
	43		Rogues inside Dragon Hunter's Fort
	44		dragons when allied
	45		dragons when allied
	46		
	47		
	48		
	49		
	50		Used for the non-talkative friendly monsters
	51		Default change me text
	52		Peasant
	53		Adventurer
	54		Ambusher
	55		Guard
	56		"Peasant message 2, Emerald Island"
	57		"Adventurer message 2, Emerald Island"
	58		
	59		
	60		
	61		Southern Village Group in Harmondale
	62		Lords
	63		Tent camp in Erathia
	64		Steadwick
	65		Elven capitol
	66		Pierpont
	67		Walking dead
	68		Deyja
	69		Stable and Tele dwellers in Bracada
	70		Eastern village and boat dwellers in Bracada
	71		Ridge walkers in Bracada
	72		Celeste
	73		Welcome
	74		Peasents in first area of the pit
	75		Peasents in the second area of the pit
	76		Peasents in the third area of the pit
	77		Peasents in main town of nighon
	78		Peasents in western town of Nighon
