Table (of Game struct)	Id	Field	New text
NPCTopic	1		Cataclysm
	2		Caravan Master
	3		Pirates of Regna
	4		Cataclysm
	5		Pirates
	6		Caravan
	7		Cataclysm
	8		Portals of Stone
	9		Fredrick Talimere
	10		Portals of Stone
	11		Cataclysm
	12		Power Stone
	13		Abandoned Temple
	14		Quest
	15		Portals of Stone
	16		Fredrick Talimere
	17		Mountain of Fire
	18		Prophecies
	19		Quest
	20		Quest
	21		Quest
	22		Promotion to Dark Elf Patriarch
	23		Cauri Blackthorne
	24		Thank you!
	25		Patriarch
	26		Circle of Stone
	27		Cauri Blackthorne
	28		Letter
	29		Quest
	30		Blackthorne Residence
	31		Where is Cauri?
	32		Blackmail
	33		Smuggler Boats
	34		Ancient Troll Home
	35		Quest
	36		Ancient Home Found!
	37		Curse of Stone
	38		Thanks for your help!
	39		Thanks for your help!
	40		Ancient Home
	41		Deliver Report
	42		Quest
	43		Quest
	44		Well Done
	45		Lake of Fire
	46		Come to Alvar
	47		Vilebite
	48		Alliance
	49		Quest
	50		Cure for Blazen Stormlance
	51		Skeletal Dragons
	52		Promotion to Champion
	53		Ebonest
	54		Cure
	55		Mad Necromancer
	56		Stormlance
	57		Ebonest
	58		Promotion to Champion
	59		My Father
	60		Promotion to Great Wyrm
	61		Dragon Slayers
	62		Sword of the Slayer
	63		Alliance
	64		Quest
	65		Alliance
	66		Flood
	67		Quest
	68		Axe of Balthazar
	69		Promotion to Minotaur Lord
	70		Dark Dwarves
	71		Quest
	72		Balthazar of 
Ravage Roaming
	73		The Axe of Balthazar
	74		Thanks for your help!
	75		Hurry!
	76		Prophecies of the Sun
	77		Clues
	78		Promotion to Priest of the Light
	79		Lair of the 
Feathered Serpent
	80		Prophecies of the Sun
	81		Quest
	82		Korbu
	83		Quest
	84		Korbu
	85		Korbu
	86		Lich
	87		Lich Jars
	88		The Lost Book of Khel
	89		Promotion to Lich
	90		Return of Korbu
	91		Thanks for your help!
	92		Thanks for your help!
	93		Thanks for your help!
	94		Alliance
	95		Quest
	96		Dyson Leland
	97		Necromancers
	98		Sun Temple
	99		Yourself
	100		Join
	101		Thant
	102		Alliance
	103		Quest
	104		Alliance
	105		Strange Gateways
	106		Ironfists
	107		Quest
	108		Pirates
	109		Xanthor
	110		Quest
	111		Ironfists' Arrival
	112		Plane of Fire
	113		Plane Between Planes
	114		Elemental Lord Prisons
	115		Merchant House
	116		Dragon Hunting
	117		Blackwell Cooper
	118		Xanthor
	119		Raising an Army
	120		Plane Between Planes
	121		Xanthor
	122		Dragon Hunting
	123		Accommodations
	124		Regna Island
	125		Quixote's Treasure
	126		Gateways
	127		Crystal Dragons
	128		The Destroyer
	129		Great Deeds
	130		The Light
	131		Mace of the Sun
	132		Ironfists
	133		Plane of Air
	134		Source of the Crisis
	135		Devils
	136		Servants of the Light
	137		The Library
	138		Pirate Raid
	139		Catherine Ironfist
	140		Plane of Water
	141		Iron Rations
	142		Salvation
	143		Keys to the City
	144		Temple of the Sun
	145		Pirate Mages
	146		Wizards
	147		Ring of Planes
	148		Nightmares
	149		Elemental Wars
	150		Safety
	151		Xanthor
	152		The Crystal
	153		Quest
	154		Gateway
	155		Elemental Lords
	156		The Destroyer
	157		Leaving
	158		Nightshade Brazier
	159		Who Are You?
	160		Masters
	161		Cataclysm
	162		Kreegans
	163		Save the World
	164		Riddle One
	165		Riddle Two
	166		Riddle Three
	167		Release Shalwend
	168		Release Acwalander
	169		Release Gralkor
	170		Release Pyrannaste
	171		Riddles
	172		Raiders
	173		Join
	174		Quest
	175		Quest
	176		Have you stopped the epidemic?
	177		Quest
	178		Do you have the antidote?
	179		Potion of Pure Speed
	180		Ingredients
	181		Do you have the Ingredients?
	182		Quest
	183		Do you have the Idol?
	184		Quest
	185		Dire Wolf Pelts
	186		Finally!
	187		Quest
	188		Quest
	189		Report has been delivered?
	190		Anointed Herb Potion
	191		Naga Hides
	192		500 Gold!
	193		Quest
	194		Eclipse
	195		Delicacy
	196		1000 Gold!
	197		Royal Wasp Jelly
	198		Quest
	199		Bounty for Ogre Ears
	200		It's safe to travel again!
	201		Potion of Pure Luck
	202		Ingredients
	203		Do you have the Ingredients?
	204		Wasp Stingers
	205		500 Gold!
	206		Survival!
	207		Quest
	208		Not enough potions?
	209		The village can hold 
its own.
	210		Potion of Pure Endurance
	211		Ingredients
	212		Do you have the Ingredients?
	213		Quest
	214		Poison!
	215		Thanks for your help!
	216		Quest
	217		Poison!
	218		Thanks for your help!
	219		Quest
	220		At last!
	221		Quest
	222		Land is ours yet again!
	223		Quest
	224		Drum of Victory History
	225		Where is the drum?
	226		Quest
	227		Bone History
	228		Great!
	229		Quest
	230		Puzzle History
	231		Hours of Enjoyment!
	232		Potion of Pure Intellect
	233		War between the Guild and Temple
	234		Do you have the Ingredients?
	235		Quest
	236		Vial of Grave Dirt
	237		Do you have the vial?
	238		Potion of Pure Personality
	239		Ingredients
	240		Thanks for the Ingredients
	241		Ancient Wyverns
	242		Bounty for Horn of the Wyvern
	243		1500 gold!
	244		Potion of Pure Accuracy
	245		Ingredients
	246		Do you have the Ingredients?
	247		Dread Pirate Stanley's Treasure
	248		Riches
	249		Quest
