Table (of Game struct)	Id	Field	New text
QuestsTxt	0		
	1		
	2		
	3		Deliver Dadeross' Letter to Elgar Fellmoon at the Merchant House in Ravenshore.
	4		
	5		Kill the leader of the Regnan Pirate outpost at Dagger Wound.
	6		
	7		Bring Brekish Onefang's portal crystal to Fredrick Talimere.
	8		
	9		Deliver Fellmoon's blackmail letter to Arion Hunter, leader of the wererat smugglers. Report back to Fellmoon.
	10		
	11		Report to Bastian Loudrin, the merchant guildmaster in Alvar.
	12		
	13		Form an alliance among the major factions of Jadame.
	14		Form an alliance with the Necromancers' Guild in Shadowspire.
	15		Form an alliance with the Temple of the Sun in Murmurwoods.
	16		Form an alliance with the Dragon hunters of Garrote Gorge.
	17		Form an alliance with the Dragons of Garrote Gorge.
	18		Form an alliance with the Minotaurs of Ravage Roaming.
	19		
	20		
	21		
	22		
	23		
	24		
	25		Find a witness to the lake of fire's formation. Bring him back to the merchant guild in Alvar.
	26		Find the skeleton transformer in the Shadowspire Necromancers' Guild. Destroy it and return to Oskar Tyre.
	27		
	28		Bring the Nightshade Brazier to the Necromancers' Guild leader, Sandro. The Brazier is in the Temple of the Sun.
	29		
	30		Rescue the Minotaurs trapped in their lair in Ravage Roaming.
	31		Recover the Dragon Egg from Zog's fortress in Ravage Roaming and return it to Charles Quixote in Garrote Gorge.
	32		
	33		Find the Dragon Egg and return it to the dragon leader, Deftclaw Redreaver.
	34		
	35		
	36		Sink the Regnan Fleet. Return to the Ravenshore council chamber.
	37		
	38		
	39		Find Cauri Blackthorne then return to Dantillion in Murmurwoods with information of her location.
	40		
	41		Bring the Heart of Water from the Plane of Water to Xanthor.
	42		Bring the Heart of Air from the Plane of Air to Xanthor.
	43		Bring the Heart of Earth from the Plane of Earth to Xanthor.
	44		Bring the Heart of Fire from the Plane of Fire to Xanthor.
	45		
	46		Find the cause of the cataclysm through the Crystal Gateway.
	47		
	48		Rescue Pyrannaste, Lord of Fire.
	49		
	50		Rescue Gralkor the Cruel, Lord of Earth.
	51		
	52		Rescue Acwalander, Lord of Water.
	53		
	54		Rescue Shalwend, Lord of Air.
	55		
	56		
	57		
	58		
	59		
	60		
	61		Put Vilebite's ashes in the Dust village tomb then return to Overdune.
	62		
	63		
	64		
	65		
	66		
	67		
	68		Find the Ancient Troll Homeland and return to Volog Sandwind in the Ironsand Desert.
	69		
	70		Find Blazen Stormlance and recover the spear Ebonest. Return to Leane Stormlance in Garrote Gorge and deliver Ebonest to Charles Quixote.
	71		
	72		Inquire about a cure for Blazen Stormlance from Dervish Chevron in Ravenshore.
	73		
	74		Kill all Dragon Slayers and return the Sword of Whistlebone the Slayer to Deftclaw Redreaver in Garrote Gorge.
	75		
