Table (of Game struct)	Id	Field	New text
TransTxt	1		Vampire crypts are normally well hidden. That the Shadowspire vampires operate so openly is proof of their power in the region.
	2		A burial mound. Though obviously centuries old, the door's inlaid and gilded decorations are clean and untarnished. They must be preserved by magic.
	3		When he passed away, Lord Brinne was mourned throughout the land. His tomb is a holy place visited by pilgrims and other well-wishers.
	4		You find a passage leading downwards. Do you enter?
	5		The volcano has apparently pulled this ancient building from the bottom of the sea. Who were it's mysterious builders?
	6		The Alvarian Dark Dwarves are recent arrivals to the area. In a short time, however, they've built an extensive system of mines.
	7		A large dragon obviously makes his residence in these caves.  The dead bodies near his home might have been adventurers seeking the dragon's treasure.
	8		The enormous size and lavish decoration of Lord Markham's Manor provide a striking contrast to the humble peasant homes and huts nearby.
	9		From the looks of the trash and decaying garbage on the ground outside, many generations of bandits have used this cave to hide from the law.
	10		Once a stately mansion, this old house has long been abandoned by the original owners.  The current residents don't seem to keep the place up very well.
	11		The entrance to this barrow is pleasing to the eye, yet at the same time forbidding.  The air is very quiet near the entrance.
	12		The entrance to this barrow is pleasing to the eye, yet at the same time forbidding.  The air is very quiet near the entrance.
	13		The entrance to this barrow is pleasing to the eye, yet at the same time forbidding.  The air is very quiet near the entrance.
	14		The door is unlocked and unguarded from the outside.  The iron on the doorknob is rusting, and you can see a small hornet's nest in the corner above the door.
	15		A nasty odor wafts from the entrance of this cave, propelled by an unseen subterranean breeze.  It smells like decaying meat mixed with brimstone and…peppermint?  Whatever.  Looks dangerous.
	16		The unassuming home of someone unimportant…or, at least someone who wishes to appear that way.
	17		This tomb must be the resting place of an eccentric recluse.  The tomb doesn't appear to have been disturbed in quite some time.
	18		A large dragon obviously makes his residence in these caves.  The undead near his home might have been adventurers seeking the dragon's treasure.
	19		The faint smell of brimstone and the sound of creatures talking in a strange language drift from the entrance of this cave.
	20		As you go deeper into this vast network of tunnels, your instinct tells you that many dangerous creatures dwell within. You vow to remain vigilant.
	21		Placeholder Text
	22		A thunderous howl pierces your ears, provoking a feeling of dread. Whatever produced that sound is drawing near, with each step rocking the earth beneath your feet.
	23		Placeholder Text
	24		Placeholder Text
	25		Regent Wilbur Humphrey, Foremost Paladin, and Prince Nicolai Ironfist, heir to the throne of Enroth, both reside in Castle Ironfist.
	26		Lord Albert Newton, High Sorcerer of Enroth, resides in Castle Newton.
	27		Lord Osric Temper, Foremost Knight, resides in Castle Temper.
	28		Lord Anthony Stone, High Priest of Free Haven, resides in Castle Stone.
	29		Lady Loretta Fleise, Chancellor of the Treasury, resides in Castle Fleise.
	30		Lord Eric von Stromgard, Marquis of the Northern Marches, resides in Castle Stromgard.
	31		The Oracle has provided the rulers of Enroth with wisdom for as long as anyone can remember.
	32		Placeholder Text
	33		Placeholder Text
	34		Placeholder Text
	35		The Oracle has provided the rulers of Enroth with wisdom for as long as anyone can remember.
	36		Placeholder Text
	37		Placeholder Text
	38		Placeholder Text
	39		Placeholder Text
	40		Placeholder Text
	41		Regent Wilbur Humphrey, Foremost Paladin, and Prince Nicolai Ironfist, heir to the throne of Enroth, both reside in Castle Ironfist.
	42		Lord Albert Newton, High Sorcerer of Enroth, resides in Castle Newton.
	43		Lord Osric Temper, Foremost Knight, resides in Castle Temper.
	44		Lord Anthony Stone, High Priest of Free Haven, resides in Castle Stone.
	45		Lady Loretta Fleise, Chancellor of the Treasury, resides in Castle Fleise.
	46		Lord Eric von Stromgard, Marquis of the Northern Marches, resides in Castle Stromgard.
	47		The maelstrom energies of air magic hold together an egg of cloud mist. You can hear a faint but clearly angry howling coming from the strange structure.
	48		Though the air temperature is quite warm, this pod of ice does not melt. The elemental power of water magic swirls about it, keeping it winter cold. 
	49		Forces of fire magic heat this cylinder of iron to red hot heat. The hiss of steam makes you wonder if the thing is full of boiling water.
	50		After you rescued them, the Minotaurs of Balthazar Lair built a new entrance to their city.
	51		The back door to the mysterious abandoned temple built by the race which lived on Dagger Wound before the Lizardmen--it should be safe now, right?
	52		History holds that Lizardmen temples of this period were guarded by traps and not monsters. What then to make of the reptilian slithering receding into the darkness?
