	Placed Monster Names
1	_(TRANS)_
2	_(TRANS)_
3	_(TRANS)_
4	_(TRANS)_
5	_(TRANS)_
6	_(TRANS)_
7	_(TRANS)_
8	_(TRANS)_
9	_(TRANS)_
10	_(TRANS)_
11	_(TRANS)_
12	_(TRANS)_
13	_(TRANS)_
14	_(TRANS)_
15	_(TRANS)_
16	_(TRANS)_
17	_(TRANS)_
18	_(TRANS)_
19	_(TRANS)_
20	_(TRANS)_
21	_(TRANS)_
22	_(TRANS)_
23	_(TRANS)_
24	_(TRANS)_
25	_(TRANS)_
26	_(TRANS)_
27	_(TRANS_CONTEXT:'npcdata')_
28	_(TRANS_CONTEXT:'npcdata')_
29	_(TRANS_CONTEXT:'npcdata')_
30	_(TRANS_CONTEXT:'npcdata')_
31	_(TRANS_CONTEXT:'npcdata')_
32	_(TRANS_CONTEXT:'npcdata')_
33	_(TRANS_CONTEXT:'npcdata')_
34	_(TRANS_CONTEXT:'npcdata')_
35	_(TRANS_CONTEXT:'npcdata')_
36	_(TRANS_CONTEXT:'npcdata')_
37	_(TRANS_CONTEXT:'npcdata')_
38	_(TRANS_CONTEXT:'npcdata')_
39	_(TRANS_CONTEXT:'npcdata')_
40	_(TRANS_CONTEXT:'npcdata')_
41	_(TRANS_CONTEXT:'npcdata')_
42	_(TRANS_CONTEXT:'npcdata')_
43	_(TRANS_CONTEXT:'npcdata')_
44	_(TRANS_CONTEXT:'npcdata')_
45	_(TRANS_CONTEXT:'npcdata')_
46	_(TRANS_CONTEXT:'npcdata')_
47	_(TRANS_CONTEXT:'npcdata')_
48	_(TRANS_CONTEXT:'npcdata')_
49	_(TRANS_CONTEXT:'npcdata')_
50	_(TRANS_CONTEXT:'npcdata')_
51	_(TRANS_CONTEXT:'npcdata')_
52	_(TRANS_CONTEXT:'npcdata')_
53	_(TRANS_CONTEXT:'npcdata')_
54	_(TRANS_CONTEXT:'npcdata')_
55	_(TRANS_CONTEXT:'npcdata')_
56	_(TRANS_CONTEXT:'npcdata')_
57	_(TRANS_CONTEXT:'npcdata')_
58	_(TRANS_CONTEXT:'npcdata')_
59	_(TRANS_CONTEXT:'npcdata')_
60	_(TRANS_CONTEXT:'npcdata')_
61	_(TRANS_CONTEXT:'npcdata')_
62	_(TRANS_CONTEXT:'npcdata')_
63	_(TRANS_CONTEXT:'npcdata')_
64	_(TRANS_CONTEXT:'npcdata')_
65	_(TRANS_CONTEXT:'npcdata')_
66	_(TRANS_CONTEXT:'npcdata')_
67	_(TRANS_CONTEXT:'npcdata')_
68	_(TRANS_CONTEXT:'npcdata')_
69	_(TRANS_CONTEXT:'npcdata')_
70	_(TRANS_CONTEXT:'npcdata')_
71	_(TRANS_CONTEXT:'npcdata')_
72	_(TRANS_CONTEXT:'npcdata')_
73	_(TRANS_CONTEXT:'npcdata')_
74	_(TRANS_CONTEXT:'npcdata')_
75	_(TRANS_CONTEXT:'npcdata')_
76	_(TRANS_CONTEXT:'npcdata')_
77	_(TRANS_CONTEXT:'npcdata')_
78	_(TRANS_CONTEXT:'npcdata')_
79	_(TRANS_CONTEXT:'npcdata')_
80	_(TRANS_CONTEXT:'npcdata')_
81	_(TRANS_CONTEXT:'npcdata')_
82	_(TRANS_CONTEXT:'npcdata')_
83	_(TRANS_CONTEXT:'npcdata')_
84	_(TRANS_CONTEXT:'npcdata')_
85	_(TRANS_CONTEXT:'npcdata')_
86	_(TRANS_CONTEXT:'npcdata')_
87	_(TRANS_CONTEXT:'npcdata')_
88	_(TRANS_CONTEXT:'npcdata')_
89	_(TRANS_CONTEXT:'npcdata')_
90	_(TRANS_CONTEXT:'npcdata')_
91	_(TRANS_CONTEXT:'npcdata')_
92	_(TRANS_CONTEXT:'npcdata')_
93	_(TRANS_CONTEXT:'npcdata')_
94	_(TRANS_CONTEXT:'npcdata')_
95	_(TRANS_CONTEXT:'npcdata')_
96	_(TRANS_CONTEXT:'npcdata')_
97	_(TRANS_CONTEXT:'npcdata')_
98	_(TRANS_CONTEXT:'npcdata')_
99	_(TRANS_CONTEXT:'npcdata')_
100	_(TRANS_CONTEXT:'npcdata')_
101	_(TRANS_CONTEXT:'npcdata')_
102	_(TRANS_CONTEXT:'npcdata')_
103	_(TRANS_CONTEXT:'npcdata')_
104	_(TRANS_CONTEXT:'npcdata')_
105	_(TRANS_CONTEXT:'npcdata')_
106	_(TRANS_CONTEXT:'npcdata')_
107	_(TRANS)_
108	_(TRANS)_
109	_(TRANS)_
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0														
129	0														
130	0														
