Table (of Game struct)	Id	Field	New text
QuestsTxt	0		
	1		
	2		
	3		_(TRANS)_
	4		
	5		_(TRANS)_
	6		
	7		_(TRANS)_
	8		
	9		_(TRANS)_
	10		
	11		_(TRANS)_
	12		
	13		_(TRANS)_
	14		_(TRANS)_
	15		_(TRANS)_
	16		_(TRANS)_
	17		_(TRANS)_
	18		_(TRANS)_
	19		
	20		
	21		
	22		
	23		
	24		
	25		_(TRANS)_
	26		_(TRANS)_
	27		
	28		_(TRANS)_
	29		
	30		_(TRANS)_
	31		_(TRANS)_
	32		
	33		_(TRANS)_
	34		
	35		
	36		_(TRANS)_
	37		
	38		
	39		_(TRANS)_
	40		
	41		_(TRANS)_
	42		_(TRANS)_
	43		_(TRANS)_
	44		_(TRANS)_
	45		
	46		_(TRANS)_
	47		
	48		_(TRANS)_
	49		
	50		_(TRANS)_
	51		
	52		_(TRANS)_
	53		
	54		_(TRANS)_
	55		
	56		
	57		
	58		
	59		
	60		
	61		_(TRANS)_
	62		
	63		
	64		
	65		
	66		
	67		
	68		_(TRANS)_
	69		
	70		_(TRANS)_
	71		
	72		_(TRANS)_
	73		
	74		_(TRANS)_
	75		
	76		_(TRANS)_
	77		
	78		_(TRANS)_
	79		
	80		_(TRANS)_
	81		
	82		_(TRANS)_
	83		
	84		
	85		_(TRANS)_
	86		
	87		
	88		
	89		
	90		
	91		_(TRANS)_
	92		
	93		
	94		
	95		
	96		
	97		
	98		
	99		
	100		
	101		_(TRANS)_
	102		
	103		
	104		
	105		
	106		
	107		
	108		
	109		_(TRANS)_
	110		
	111		_(TRANS)_
	112		
	113		_(TRANS)_
	114		
	115		_(TRANS)_
	116		
	117		_(TRANS)_
	118		
	119		_(TRANS)_
	120		
	121		_(TRANS)_
	122		
	123		_(TRANS)_
	124		
	125		_(TRANS)_
	126		
	127		_(TRANS)_
	128		
	129		_(TRANS)_
	130		
	131		
	132		_(TRANS)_
	133		
	134		
	135		_(TRANS)_
	136		
	137		_(TRANS)_
	138		
	139		_(TRANS)_
	140		
	141		
	142		_(TRANS)_
	143		
	144		
	145		
	146		
	147		
	148		
	149		
	150		_(TRANS)_
	151		
	152		_(TRANS)_
	153		
	154		_(TRANS)_
	155		
	156		
	157		_(TRANS)_
	158		
	159		
	160		_(TRANS)_
	161		
	162		_(TRANS)_
	163		
	164		_(TRANS)_
	165		
	166		_(TRANS)_
	167		
	168		
	169		
	170		
	171		
	172		_(TRANS)_
	173		_(TRANS)_
	174		
	175		
	176		_(TRANS)_
	177		_(TRANS)_
	178		_(TRANS)_
	179		
	180		
	181		
	182		
	183		
	184		
	185		
	186		
	187		
	188		
	189		
	190		
	191		
	192		
	193		
	194		
	195		
	196		
	197		
	198		
	199		
	200		
	201		
	202		
	203		
	204		
	205		
	206		
