Table (of Game struct)	Id	Field	New text
TransTxt	1		_(TRANS)_
	2		_(TRANS)_
	3		_(TRANS)_
	4		_(TRANS)_
	5		_(TRANS)_
	6		_(TRANS)_
	7		_(TRANS)_
	8		_(TRANS)_
	9		_(TRANS)_
	10		_(TRANS)_
	11		_(TRANS)_
	12		_(TRANS)_
	13		_(TRANS)_
	14		_(TRANS)_
	15		_(TRANS)_
	16		_(TRANS)_
	17		_(TRANS)_
	18		_(TRANS)_
	19		_(TRANS)_
	20		_(TRANS)_
	21		Placeholder Text
	22		_(TRANS)_
	23		Placeholder Text
	24		Placeholder Text
	25		_(TRANS)_
	26		_(TRANS)_
	27		_(TRANS)_
	28		_(TRANS)_
	29		_(TRANS)_
	30		_(TRANS)_
	31		_(TRANS)_
	32		Placeholder Text
	33		Placeholder Text
	34		Placeholder Text
	35		_(TRANS)_
	36		Placeholder Text
	37		Placeholder Text
	38		Placeholder Text
	39		Placeholder Text
	40		Placeholder Text
	41		_(TRANS)_
	42		_(TRANS)_
	43		_(TRANS)_
	44		_(TRANS)_
	45		_(TRANS)_
	46		_(TRANS)_
	47		_(TRANS)_
	48		_(TRANS)_
	49		_(TRANS)_
	50		_(TRANS)_
	51		_(TRANS)_
	52		_(TRANS)_
	53		_(TRANS)_
	54		_(TRANS)_
	55		_(TRANS)_
	56		_(TRANS)_
	57		_(TRANS)_
	58		_(TRANS)_
	59		_(TRANS)_
	60		_(TRANS)_
	61		_(TRANS)_
	62		_(TRANS)_
	63		_(TRANS)_
	64		_(TRANS)_
	65		_(TRANS)_
	66		_(TRANS)_
	67		_(TRANS)_
	68		_(TRANS)_
	69		_(TRANS)_
	70		_(TRANS)_
	71		_(TRANS)_
	72		_(TRANS)_
	73		_(TRANS)_
	74		_(TRANS)_
	75		_(TRANS)_
	76		_(TRANS)_
	77		_(TRANS)_
	78		_(TRANS)_
	79		_(TRANS)_
	80		_(TRANS)_
	81		_(TRANS)_
	82		_(TRANS)_
	83		_(TRANS)_
	84		_(TRANS)_
	85		_(TRANS)_
	86		_(TRANS)_
	87		_(TRANS)_
	88		_(TRANS)_
	89		_(TRANS)_
	90		_(TRANS)_
	91		_(TRANS)_
	92		_(TRANS)_
	93		_(TRANS)_
	94		_(TRANS)_
	95		_(TRANS)_
	96		_(TRANS)_
	97		_(TRANS)_
	98		_(TRANS)_
	99		_(TRANS)_
	100		_(TRANS)_
	101		_(TRANS)_
	102		_(TRANS)_
	103		_(TRANS)_
	104		_(TRANS)_
	105		_(TRANS)_
	106		_(TRANS)_
	107		_(TRANS)_
	108		_(TRANS)_
	109		_(TRANS)_
	110		_(TRANS)_
	111		_(TRANS)_
	112		_(TRANS)_
	113		_(TRANS)_
	114		_(TRANS)_
	115		_(TRANS)_
	116		_(TRANS)_
	117		_(TRANS)_
	118		_(TRANS)_
	119		_(TRANS)_
	120		_(TRANS)_
	121		_(TRANS)_
	122		_(TRANS)_
	123		_(TRANS)_
	124		_(TRANS)_
	125		_(TRANS)_
	126		_(TRANS)_
	127		_(TRANS)_
	128		_(TRANS)_
	129		_(TRANS)_
	130		_(TRANS)_
	131		_(TRANS)_
	132		_(TRANS)_
	133		_(TRANS)_
	134		_(TRANS)_
	135		_(TRANS)_
	136		_(TRANS)_
	137		_(TRANS)_
	138		_(TRANS)_
	139		_(TRANS)_
	140		_(TRANS)_
	141		_(TRANS)_
	142		_(TRANS)_
	143		_(TRANS)_
	144		_(TRANS)_
	145		_(TRANS)_
	146		_(TRANS)_
	147		_(TRANS)_
	148		_(TRANS)_
	149		_(TRANS)_
	150		_(TRANS)_
	151		_(TRANS)_
	152		_(TRANS)_
	153		_(TRANS)_
	154		_(TRANS)_
	155		Placeholder Text
	156		Placeholder Text
	157		_(TRANS)_
	158		_(TRANS)_
	159		_(TRANS)_
	160		Placeholder Text
	161		Placeholder Text
	162		Placeholder Text
	163		Placeholder Text
	164		Placeholder Text
	165		Placeholder Text
	166		Placeholder Text
	167		Placeholder Text
	168		Placeholder Text
	169		Placeholder Text
	170		Placeholder Text
	171		Placeholder Text
	172		Placeholder Text
	173		Placeholder Text
	174		Placeholder Text
	175		Placeholder Text
	176		Placeholder Text
	177		Placeholder Text
	178		Placeholder Text
	179		Placeholder Text
	180		Placeholder Text
	181		Placeholder Text
	182		Placeholder Text
	183		Placeholder Text
	184		Placeholder Text
	185		Placeholder Text
	186		Placeholder Text
	187		Placeholder Text
	188		Placeholder Text
	189		Placeholder Text
	190		Placeholder Text
	191		Placeholder Text
	192		Placeholder Text
	193		Placeholder Text
	194		_(TRANS)_
	195		_(TRANS)_
	196		Placeholder Text
	197		Placeholder Text
	198		Placeholder Text
	199		Placeholder Text
	200		Placeholder Text
	201		Placeholder Text
	202		Placeholder Text
	203		Placeholder Text
	204		Placeholder Text
	205		Placeholder Text
	206		Placeholder Text
	207		Placeholder Text
	208		Placeholder Text
	209		_(TRANS)_
	210		Placeholder Text
	211		_(TRANS)_
	212		Placeholder Text
	213		_(TRANS)_
	214		Placeholder Text
	215		_(TRANS)_
	216		Placeholder Text
	217		_(TRANS)_
	218		Placeholder Text
	219		_(TRANS)_
	220		Placeholder Text
	221		_(TRANS)_
	222		Placeholder Text
	223		Placeholder Text
	224		Placeholder Text
	225		Placeholder Text
	226		Placeholder Text
	227		Placeholder Text
	228		Placeholder Text
	229		_(TRANS)_
	230		Placeholder Text
	231		Placeholder Text
	232		Placeholder Text
	233		Placeholder Text
	234		Placeholder Text
	235		Placeholder Text
	236		Placeholder Text
	237		Placeholder Text
	238		Placeholder Text
	239		Placeholder Text
	240		Placeholder Text
	241		Placeholder Text
	242		Placeholder Text
	243		Placeholder Text
	244		Placeholder Text
	245		Placeholder Text
	246		Placeholder Text
	247		Placeholder Text
	248		Placeholder Text
	249		Placeholder Text
	250		Placeholder Text
	251		Placeholder Text
	252		Placeholder Text
	253		Placeholder Text
	254		Placeholder Text
	255		Placeholder Text
	256		Placeholder Text
	257		Placeholder Text
	258		Placeholder Text
	259		Placeholder Text
	260		Placeholder Text
	261		_(TRANS)_
	262		_(TRANS)_
	263		_(TRANS)_
	264		_(TRANS)_
	265		_(TRANS)_
	266		_(TRANS)_
	267		_(TRANS)_
	268		_(TRANS)_
	269		_(TRANS)_
	270		_(TRANS)_
